Team,Medal
Russia,Gold
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Gold
United States,Silver
Devon and Somerset Wanderers,Gold
Australia,Bronze
Australia,Bronze
Great Britain,Silver
United States,Gold
Yugoslavia,Silver
United States,Silver
United States,Silver
United States,Gold
United States,Bronze
United States,Gold
United States,Silver
United States,Silver
United States,Gold
United States,Silver
United States,Gold
Canada,Bronze
Australia,Bronze
France,Bronze
Canada,Silver
Canada,Silver
Canada,Silver
Great Britain,Bronze
United States,Silver
Cameroon,Gold
France,Gold
Canada,Bronze
France,Silver
United States,Silver
Belgium,Bronze
Belgium,Silver
United States,Silver
United States,Bronze
Australasia,Silver
Australasia,Bronze
Australia,Bronze
Australia,Silver
Australia,Bronze
Australia,Silver
Poland,Gold
Unified Team,Gold
Brazil,Silver
Brazil,Bronze
Yugoslavia,Silver
Yugoslavia,Gold
Great Britain,Bronze
Great Britain,Gold
France,Bronze
France,Silver
Italy,Gold
Italy,Bronze
Lebanon,Bronze
Canada,Gold
Romania,Gold
Germany,Bronze
United States,Bronze
Great Britain,Bronze
Great Britain,Gold
Yugoslavia,Bronze
United States,Bronze
United States,Bronze
West Germany,Silver
Great Britain,Bronze
Norway,Silver
United States,Gold
Australia,Gold
East Germany,Gold
East Germany,Silver
Switzerland,Silver
Germany,Gold
Germany,Gold
Germany,Gold
Germany,Silver
United States,Silver
West Germany,Bronze
Germany-1,Silver
West Germany,Silver
United States,Bronze
Germany,Gold
Germany,Bronze
East Germany,Bronze
East Germany,Silver
Germany,Bronze
United States,Bronze
United States,Gold
United States,Silver
United States,Gold
Germany,Gold
Germany,Silver
Germany,Silver
Germany,Gold
Jamaica,Silver
Canada,Bronze
Australia,Silver
United States,Gold
United States,Silver
West Germany,Bronze
West Germany,Bronze
Romania,Silver
Belgium,Bronze
Canada,Bronze
Canada,Gold
Canada,Gold
Canada,Silver
Canada,Bronze
Canada,Gold
Canada,Gold
United States,Gold
South Africa,Bronze
Romania,Bronze
Czechoslovakia,Bronze
Czechoslovakia,Silver
Switzerland,Silver
Belgium,Bronze
Switzerland,Silver
United States,Gold
East Germany,Silver
East Germany,Bronze
West Germany,Gold
Germany,Gold
Germany,Gold
Germany,Gold
Germany,Bronze
Switzerland-2,Silver
Switzerland-2,Gold
United States,Gold
Great Britain,Gold
Netherlands,Bronze
Kyrgyzstan,Silver
Australia,Gold
Australia,Silver
Italy,Gold
United States,Bronze
Soviet Union,Silver
France,Silver
Germany,Silver
Germany,Silver
Germany,Gold
Germany,Bronze
United States,Silver
East Germany,Bronze
France,Silver
West Germany,Gold
West Germany,Silver
West Germany,Silver
West Germany,Silver
West Germany,Silver
East Germany,Silver
East Germany,Bronze
East Germany,Gold
East Germany-2,Silver
Germany-1,Gold
Germany-1,Bronze
Germany-1,Gold
East Germany,Gold
East Germany,Silver
Germany,Gold
Germany,Silver
Germany,Silver
Germany,Bronze
Denmark,Bronze
New Zealand,Silver
Germany,Bronze
Germany,Gold
East Germany,Bronze
East Germany,Silver
East Germany,Silver
Azerbaijan,Bronze
Netherlands,Gold
France,Silver
Spain,Silver
United States,Bronze
United States,Silver
Germany,Silver
Spain,Gold
Mexico,Bronze
Poland,Bronze
Greece,Gold
Greece,Bronze
Ethiopia,Silver
Ethiopia,Gold
Ethiopia,Gold
Ethiopia,Gold
Ethiopia,Bronze
Hungary,Bronze
Hungary,Silver
Russia,Gold
Russia,Silver
Soviet Union,Silver
Norway,Silver
South Africa,Bronze
South Africa,Silver
Netherlands,Silver
Norway,Gold
Cameroon,Gold
Belarus,Silver
Canada,Bronze
Spain,Silver
Spain,Bronze
United States-1,Silver
Australia,Gold
Australia,Gold
Australia,Silver
Netherlands,Bronze
Ukraine,Silver
Unified Team,Bronze
Unified Team,Gold
Soviet Union,Bronze
Russia,Silver
Soviet Union,Silver
Soviet Union,Bronze
Cuba,Silver
United States,Bronze
United States-2,Silver
Canada,Silver
Australia,Silver
United States,Bronze
United States,Gold
Canada,Gold
Australia,Silver
Australia,Silver
Cuba,Gold
Cuba,Gold
Cuba,Gold
Australia,Bronze
United States,Silver
United States,Silver
United States,Silver
United States,Gold
United States,Gold
Colombia,Silver
Colombia,Silver
Italy,Bronze
Symphony,Silver
Symphony,Silver
Italy,Bronze
Italy,Gold
Italy,Bronze
Italy,Gold
Italy,Gold
Lalage,Gold
Italy,Gold
Italy,Silver
Italy,Bronze
Italy,Bronze
Italy,Bronze
Italy,Silver
Italy,Bronze
Italy,Bronze
Italy,Gold
Italy,Silver
Spain,Silver
Spain,Silver
Spain,Gold
Spain,Bronze
Unified Team,Bronze
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Gold
Australia,Silver
United States,Gold
United States,Gold
United States,Gold
Soviet Union,Gold
Soviet Union-1,Silver
Soviet Union-1,Gold
Soviet Union-1,Gold
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Bronze
Soviet Union,Bronze
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Bronze
Soviet Union,Silver
Russia,Gold
Unified Team,Silver
Unified Team,Bronze
Unified Team,Bronze
Russia,Bronze
East Germany,Bronze
Cuba,Silver
Cuba,Silver
Portugal,Bronze
Russia,Gold
Soviet Union-1,Silver
Soviet Union,Bronze
Soviet Union,Gold
Russia,Bronze
Russia,Silver
Russia,Bronze
Kazakhstan,Silver
Kazakhstan,Silver
Soviet Union,Silver
Soviet Union,Bronze
Soviet Union,Gold
Morocco,Silver
France,Silver
Czechoslovakia,Silver
Czechoslovakia,Bronze
Italy,Bronze
Germany,Silver
Germany,Silver
Poland,Bronze
West Germany,Bronze
Hungary,Gold
Germany,Gold
Germany,Silver
Hungary,Silver
Hungary,Gold
Hungary,Bronze
Hungary,Gold
Hungary,Gold
Hungary,Gold
Sweden,Silver
Sweden,Silver
United States,Gold
Italy,Bronze
Italy,Gold
Czechoslovakia,Silver
Canada,Bronze
Canada,Bronze
Canada,Bronze
Italy,Silver
Australia,Bronze
Sweden,Gold
Sweden,Silver
Kullan,Gold
Sweden,Silver
Sweden,Silver
Sweden,Silver
Sweden,Silver
Sweden,Bronze
United States-1,Silver
United States-1,Silver
Morocco,Silver
Morocco,Bronze
Poland,Silver
Algeria,Silver
Paraguay,Silver
United States,Silver
United States,Gold
United States,Silver
United States,Gold
Canada,Bronze
Canada,Gold
Netherlands,Silver
United States,Gold
France-2,Bronze
United States,Bronze
United States,Bronze
United States,Gold
United States,Bronze
United States,Gold
United States,Bronze
United States,Gold
United States,Gold
United States,Gold
Great Britain,Gold
Great Britain,Silver
Amateur Athletic Association,Gold
Canada,Silver
Great Britain,Gold
United States,Silver
Great Britain,Silver
Great Britain,Silver
Australia,Bronze
Great Britain,Bronze
Great Britain,Bronze
Great Britain,Gold
Great Britain,Silver
New Zealand,Bronze
Netherlands,Gold
Netherlands,Bronze
Netherlands,Bronze
United States,Gold
Canada,Silver
Canada,Gold
United States,Bronze
United States,Silver
Cuba,Bronze
West Germany,Gold
Great Britain,Gold
Romania,Bronze
Widgeon,Bronze
United States,Gold
United States,Gold
Slovakia,Silver
Italy,Gold
Switzerland,Bronze
Switzerland,Bronze
Switzerland-1,Bronze
Switzerland-2,Silver
Switzerland-2,Gold
Switzerland-1,Silver
Czech Republic,Gold
Romania,Bronze
Bulgaria,Silver
Romania,Gold
Romania,Silver
Hungary,Gold
Hungary,Gold
Hungary,Bronze
Hungary,Bronze
Hungary,Gold
Soviet Union,Gold
Turkey,Bronze
Soviet Union,Bronze
United States,Gold
United States,Silver
United States,Gold
Romania,Bronze
Hungary,Bronze
Great Britain,Silver
Great Britain,Gold
Great Britain,Silver
Great Britain,Gold
Great Britain,Gold
Ukraine,Bronze
Ukraine,Silver
Russia,Gold
Russia,Bronze
Russia,Gold
Soviet Union,Gold
Soviet Union,Gold
Russia-2,Silver
Russia-1,Gold
Sweden,Bronze
Sweden,Bronze
Finland,Bronze
Finland,Silver
Sweden,Bronze
Finland,Bronze
Finland,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Silver
United States,Silver
United States,Silver
Italy,Silver
Italy,Silver
Italy,Gold
Italy,Silver
Norway,Bronze
Norway,Bronze
Canada,Silver
Soviet Union,Silver
Austria,Gold
France,Bronze
France,Gold
United States,Gold
United States,Silver
United States,Silver
Czechoslovakia,Gold
Sweden,Bronze
Norway,Silver
Canada,Bronze
West Germany,Gold
United States,Gold
Norway,Gold
Norway,Gold
Norway,Silver
Norway,Bronze
Norway,Gold
Norway,Bronze
Canada,Gold
Canada,Gold
Spain,Gold
United States,Silver
Sweden,Bronze
Sweden,Gold
Sweden,Silver
Sweden,Bronze
Austria,Silver
Sweden,Bronze
Sweden,Bronze
Sweden,Gold
Sweden,Silver
Sweden,Gold
Sweden,Silver
Sweden,Gold
Sweden,Silver
Norway,Gold
Norway,Silver
United States,Gold
Sweden,Silver
Sweden,Bronze
Sweden,Bronze
Sweden,Gold
Sweden,Bronze
Netherlands,Bronze
Netherlands,Gold
Sweden,Bronze
Sirene,Gold
Sweden,Bronze
Serbia and Montenegro,Silver
Ukraine,Silver
Australia,Silver
Hungary,Silver
Netherlands,Silver
Netherlands,Bronze
Hungary,Gold
United States,Silver
United States,Gold
United States,Bronze
United States,Gold
Soviet Union,Gold
Soviet Union,Silver
United States,Silver
Sweden,Silver
Sweden,Bronze
Cuba,Silver
Cuba,Silver
United States,Gold
Brazil,Silver
France,Bronze
France,Gold
France,Silver
France,Gold
Canada,Silver
Trinidad and Tobago,Bronze
Great Britain,Bronze
Italy,Silver
Italy,Silver
Brazil,Silver
Italy,Bronze
France,Bronze
France,Bronze
Poland,Silver
West Germany,Bronze
Germany,Bronze
Canada,Gold
France,Bronze
West Germany,Bronze
Norway,Silver
France,Gold
France,Bronze
Belgium,Silver
France,Bronze
Italy,Gold
Great Britain,Gold
Great Britain,Gold
Australia,Silver
Australia,Gold
Australia,Bronze
Denmark,Silver
France,Silver
Magda IX,Gold
France,Bronze
Germany,Gold
Hungary,Gold
Hungary,Bronze
Hungary,Silver
Sweden,Gold
Sweden,Gold
Italy,Gold
Italy,Gold
Italy,Silver
Italy,Bronze
Italy,Gold
Italy,Gold
Italy,Bronze
Italy,Silver
Italy,Bronze
Pistoja/Firenze,Bronze
Italy,Bronze
Italy,Gold
France,Bronze
East Germany,Bronze
France,Silver
Tritons Lillois-2,Silver
Australia,Bronze
United States,Silver
Sweden,Silver
United States,Gold
United States,Gold
Soviet Union,Silver
Hungary,Silver
Hungary,Bronze
Hungary,Silver
Netherlands,Silver
Soviet Union,Gold
Soviet Union,Bronze
Romania,Gold
Romania,Silver
Cameroon,Silver
Russia,Silver
France,Gold
United States,Silver
United States,Silver
Australia,Silver
Soviet Union,Bronze
Soviet Union-1,Silver
Soviet Union-1,Gold
Cuba,Gold
Cuba,Silver
Canada,Gold
Soviet Union,Gold
Switzerland,Bronze
Switzerland,Silver
France,Gold
Sweden,Bronze
France,Bronze
Italy,Gold
Great Britain,Bronze
Netherlands,Silver
Netherlands,Bronze
Great Britain,Gold
Canada,Bronze
Australia,Silver
East Germany-1,Bronze
New Zealand,Bronze
New Zealand,Bronze
France,Gold
France,Bronze
"New York Turnverein, New York",Silver
Norway,Gold
East Germany,Gold
East Germany,Gold
East Germany,Bronze
Germany,Bronze
United States,Gold
West Germany,Bronze
West Germany,Silver
Turkey,Silver
France,Bronze
Yugoslavia,Gold
Soviet Union,Bronze
Ukraine,Bronze
Ukraine,Bronze
United States,Silver
India,Gold
Great Britain,Bronze
Great Britain,Gold
United States,Bronze
China,Silver
Italy,Gold
Soviet Union,Gold
Soviet Union,Gold
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Silver
Italy,Gold
Italy,Silver
Italia,Gold
Italy,Bronze
Italy,Silver
Italy,Gold
Italy,Gold
France,Silver
Switzerland,Silver
United States,Gold
Italy,Silver
Poland,Bronze
Poland,Bronze
France,Gold
Italy,Gold
Great Britain,Silver
Angelita,Gold
Croatia,Bronze
Belarus,Bronze
Belarus,Bronze
United States-1,Bronze
Switzerland,Silver
Argentina,Silver
Morocco,Bronze
Denmark,Silver
Norway,Gold
Germany,Gold
Germany,Gold
Germany,Silver
Germany,Bronze
Germany,Gold
Austria,Bronze
Austria,Gold
Austria,Bronze
Switzerland,Bronze
Soviet Union,Bronze
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Gold
West Germany,Gold
Poland,Silver
Finland,Bronze
Canada,Bronze
Canada,Bronze
Netherlands,Bronze
Latvia,Silver
United States,Gold
United States,Gold
Great Britain,Bronze
Great Britain,Gold
Great Britain,Silver
Great Britain,Silver
Croatia,Silver
France,Gold
Turkey,Bronze
Ethiopia,Gold
Ethiopia,Gold
Bulgaria,Gold
Kenya,Bronze
France,Silver
United States,Silver
Turkey,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Bronze
Turkey,Gold
Esterel-1,Gold
United States,Bronze
United States,Silver
India,Bronze
United States,Silver
United States,Gold
United States,Bronze
United States,Bronze
United States,Silver
United States,Bronze
Canada,Silver
Canada,Gold
Canada,Gold
Ukraine,Bronze
Soviet Union,Bronze
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Silver
Soviet Union,Gold
Bulgaria,Silver
Greece,Gold
Netherlands,Silver
Individual Olympic Athletes,Bronze
Germany,Silver
India,Gold
Great Britain,Bronze
Great Britain,Bronze
Italy,Gold
Italy,Bronze
Italy,Silver
Yugoslavia,Silver
United States,Gold
United States,Gold
United States,Gold
United States,Bronze
United States,Gold
United States,Gold
United States,Silver
United States,Gold
United States,Silver
United States,Gold
United States,Gold
Sweden,Gold
France,Silver
Brazil,Bronze
Italy,Bronze
Italy,Silver
Serbia,Silver
Denmark,Silver
Denmark,Silver
Denmark,Bronze
Great Britain,Silver
New Zealand,Bronze
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
Australia,Bronze
Kenya,Gold
Denmark,Silver
Atlanta,Gold
Atlanta,Gold
Devon and Somerset Wanderers,Gold
Poland,Bronze
Romania,Bronze
Australia,Silver
Hungary,Gold
Hungary,Gold
Hungary,Gold
Romania,Bronze
Romania,Silver
Romania,Bronze
Russia,Gold
East Germany,Bronze
East Germany,Gold
Germany,Gold
Germany,Silver
Wannsee,Gold
West Germany,Gold
Germany,Silver
Australia,Bronze
Great Britain,Silver
United States,Gold
Italy,Bronze
Italy,Silver
Canada-1,Bronze
"New York Turnverein, New York",Silver
Austria,Silver
Great Britain,Silver
Kenya,Silver
Kenya,Silver
West Germany-1,Bronze
Germany,Gold
Germany,Silver
Kenya,Gold
United States,Gold
Yugoslavia,Bronze
Yugoslavia,Gold
Yugoslavia,Silver
Denmark,Silver
Sweden,Gold
Finland,Bronze
Finland,Bronze
Sweden,Gold
Sweden,Bronze
United States,Silver
Sweden,Bronze
Nina,Silver
Brazil,Gold
Finland,Bronze
Sweden,Bronze
Sweden,Bronze
Nina,Silver
Sweden,Bronze
Norway,Bronze
Norway,Silver
Norway,Silver
Norway,Silver
Norway,Silver
Norway,Gold
Norway,Bronze
Norway,Silver
Norway,Gold
Norway,Gold
Norway,Gold
Norway,Gold
Norway,Gold
Norway,Silver
Norway,Silver
Norway,Gold
Norway,Silver
Norway,Gold
Norway,Gold
Norway,Gold
Norway,Gold
Norway,Silver
Norway,Bronze
Norway,Silver
Norway,Silver
Norway,Gold
Norway,Gold
Norway,Gold
Norway,Gold
Norway,Silver
Ormsund Roklub-2,Bronze
Denmark,Silver
Denmark,Silver
Canada,Silver
United States,Bronze
Canada,Silver
United States,Gold
United States,Silver
United States,Gold
Australia,Bronze
Great Britain,Bronze
Great Britain,Silver
Great Britain,Silver
Mohawk Indians-2,Bronze
Mohawk Indians-2,Bronze
United States,Bronze
Chuckles,Bronze
Canada,Silver
Canada,Silver
Australia,Bronze
Great Britain,Gold
Sweden,Silver
Jamaica,Silver
Belgium,Bronze
Sweden,Gold
Soviet Union,Gold
Bulgaria,Silver
Bulgaria,Silver
Bulgaria,Bronze
United States,Gold
United States,Gold
United States,Bronze
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Gold
United States,Bronze
Netherlands,Silver
United States,Silver
Jamaica,Bronze
Canada,Gold
Jamaica,Silver
Jamaica,Silver
Jamaica,Gold
Jamaica,Gold
Denmark,Gold
France,Gold
Italy,Silver
Italy,Bronze
France,Gold
France,Gold
Olle,Gold
Olle,Gold
Cuba,Bronze
United States,Gold
Netherlands,Silver
Netherlands,Gold
Poland,Bronze
Poland,Gold
Germany,Gold
Netherlands,Gold
Netherlands,Gold
Netherlands,Gold
Netherlands,Gold
United States-1,Gold
Spain,Silver
Brazil,Bronze
Germany,Silver
Germany,Silver
Spain,Gold
Germany,Silver
United States,Gold
Brazil,Bronze
Switzerland,Silver
Denmark,Bronze
Russia,Bronze
Ghana,Bronze
Czechoslovakia,Silver
Trinidad and Tobago,Gold
Trinidad and Tobago,Silver
United States,Gold
United States,Gold
United States,Gold
United States,Silver
United States,Gold
Great Britain,Silver
United States,Gold
East Germany,Bronze
United States,Bronze
Russia,Silver
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Gold
Belgium,Silver
Belgium,Bronze
Belgium,Silver
Belgium,Bronze
Belgium,Silver
Belgium,Silver
Uruguay,Bronze
Russia,Silver
Russia,Gold
Russia,Gold
Russia,Gold
USFSA,Silver
West Germany,Silver
West Germany,Silver
East Germany,Silver
West Germany,Silver
Germany,Silver
Germany,Bronze
Switzerland,Bronze
Soviet Union,Bronze
Soviet Union,Bronze
Netherlands,Bronze
Netherlands,Silver
Netherlands,Gold
Sweden,Bronze
Sweden,Gold
Sweden,Silver
Sweden,Bronze
Sweden,Gold
Sweden,Bronze
Sweden,Bronze
Finland,Silver
France,Silver
Great Britain,Bronze
United States,Gold
East Germany,Bronze
Germany,Gold
Germany,Gold
Germany,Gold
Germany,Silver
Denmark,Gold
Denmark,Bronze
Germany,Gold
France,Gold
Poland,Bronze
Poland,Bronze
Canada,Bronze
Canada,Bronze
Great Britain,Silver
Great Britain,Gold
Great Britain,Bronze
Lalage,Gold
Australasia,Gold
Romania,Silver
Yugoslavia,Silver
Yugoslavia,Silver
Poland,Silver
Hungary,Gold
Czechoslovakia,Bronze
Romania,Gold
Australia,Silver
Australia,Silver
Soviet Union,Gold
Russia,Gold
Russia,Gold
Soviet Union,Gold
Soviet Union,Gold
France,Bronze
Belgium,Silver
Brazil,Bronze
Italy,Bronze
Italy,Gold
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Switzerland,Bronze
Germany,Bronze
Poland,Bronze
Soviet Union,Silver
Soviet Union,Silver
Soviet Union,Silver
Russia,Bronze
Germany,Gold
Germany,Gold
Austria,Silver
Austria,Silver
Switzerland,Gold
Hungary,Silver
Hungary,Bronze
Norway,Silver
West Germany,Bronze
United States,Bronze
West Germany,Gold
Italy,Bronze
East Germany,Silver
Germany,Bronze
East Germany,Gold
Switzerland,Silver
Australia,Silver
Serbia and Montenegro,Silver
South Africa,Silver
Hungary,Bronze
Hungary,Gold
Hungary,Bronze
Hungary,Silver
East Germany,Silver
Soviet Union,Silver
Hungary,Silver
Hungary,Bronze
Hungary,Silver
Hungary,Gold
Hungary,Bronze
Denmark,Silver
Netherlands,Gold
Netherlands,Bronze
Netherlands,Bronze
France,Gold
France,Bronze
Netherlands Antilles,Silver
Netherlands,Bronze
Netherlands,Silver
United States,Silver
East Germany,Gold
East Germany,Silver
Netherlands,Bronze
Germany,Silver
Bulgaria,Gold
Poland,Silver
Russia,Gold
Russia,Gold
Austria,Silver
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Bronze
Bulgaria,Bronze
Bulgaria,Silver
Unified Team,Bronze
Soviet Union,Bronze
Serbia,Silver
Serbia,Silver
Belarus,Gold
Belarus,Silver
Belarus,Gold
Belarus,Silver
Soviet Union,Gold
Hungary,Bronze
United States,Gold
Romania,Bronze
Soviet Union,Bronze
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Unified Team,Gold
Russia,Gold
Switzerland,Silver
United States,Gold
United States,Silver
United States,Silver
Italy,Bronze
Bulgaria,Gold
Unified Team,Silver
East Germany,Bronze
Soviet Union,Bronze
Soviet Union,Gold
Germany,Silver
Germany,Bronze
Sweden,Bronze
Slaghoken,Silver
Slaghoken II,Gold
Finland,Silver
Germany,Bronze
Germany,Silver
East Germany,Bronze
Norway,Silver
Denmark,Silver
United States,Silver
United States,Silver
France,Bronze
Belgium,Silver
Belgium,Bronze
Belgium,Silver
France,Gold
France,Gold
France,Gold
France,Silver
Kenya,Bronze
Kenya,Silver
United States,Gold
France,Gold
France,Gold
France,Bronze
Sweden,Gold
France,Bronze
Denmark,Bronze
Denmark,Gold
Denmark,Bronze
Germany,Silver
India,Gold
Great Britain,Gold
Great Britain/Germany,Gold
United States,Gold
Unified Team,Gold
Trinidad and Tobago,Bronze
Trinidad and Tobago,Bronze
Trinidad and Tobago,Silver
Trinidad and Tobago,Bronze
Germany,Silver
Germany,Gold
West Germany,Silver
West Germany,Gold
United States,Gold
United States,Bronze
Netherlands,Gold
Netherlands,Bronze
Venezuela,Bronze
Georgia,Bronze
Germany,Silver
Germany,Bronze
Germany,Bronze
Switzerland,Bronze
Switzerland,Bronze
Italy,Gold
Soviet Union,Gold
Soviet Union,Gold
Jamaica,Gold
Jamaica,Gold
Jamaica,Gold
Jamaica,Gold
Jamaica,Gold
Jamaica,Gold
Jamaica,Gold
Jamaica,Gold
Sweden,Silver
Sweden,Bronze
Sweden,Gold
Sweden,Gold
Sweden,Silver
United States,Gold
United States,Gold
Hungary,Gold
Hungary,Gold
West Germany,Bronze
Italy,Bronze
Kenya,Silver
Yugoslavia,Gold
Yugoslavia,Silver
Yugoslavia,Gold
Italy,Bronze
Italy-2,Silver
Italy,Silver
France,Silver
Italy,Gold
Bulgaria,Bronze
Swift,Gold
New Zealand,Gold
New Zealand,Gold
Romania,Bronze
Soviet Union,Gold
Soviet Union,Bronze
Russia,Bronze
Russia,Silver
Ukraine,Bronze
Soviet Union,Gold
Denmark,Silver
Sweden,Gold
Sweden,Silver
France,Gold
France,Silver
Germany,Silver
France,Silver
Italy,Bronze
South Korea,Gold
United States,Gold
United States,Silver
United States,Gold
Canada,Gold
Italy,Bronze
Italy,Gold
Italy-1,Silver
France,Gold
Italy,Bronze
Germany,Gold
Poland,Bronze
East Germany,Bronze
East Germany,Silver
France,Gold
Norway,Silver
France,Bronze
France,Silver
France,Bronze
France,Silver
United States,Silver
France,Gold
France,Bronze
Italy,Silver
Italy,Silver
Italy,Silver
Italy,Gold
Italy,Silver
Germany,Silver
East Germany,Bronze
East Germany-1,Gold
East Germany-2,Bronze
United States,Gold
Romania,Silver
Romania,Bronze
France,Silver
France,Bronze
United States,Gold
Netherlands,Silver
Netherlands,Silver
Belgium,Bronze
Netherlands,Silver
Netherlands,Bronze
Netherlands,Silver
Netherlands,Gold
Netherlands,Bronze
Netherlands,Silver
Belgium,Silver
Thailand,Gold
Thailand,Silver
Austria,Silver
Thailand,Bronze
West Germany,Bronze
Netherlands,Bronze
United States,Silver
Australia,Silver
Australia,Bronze
Australia,Silver
United States,Silver
Great Britain,Silver
United States,Gold
United States,Gold
United States,Bronze
United States,Gold
Tajikistan,Bronze
Sweden,Silver
United States,Bronze
United States,Gold
Croatia,Bronze
Norway,Bronze
United States,Silver
Germany,Silver
Australia,Bronze
Australia,Bronze
Russia,Gold
East Germany,Gold
Germany,Silver
Germany,Bronze
Netherlands,Gold
France,Silver
United States,Gold
United States,Gold
Italy,Gold
France,Gold
Italy,Gold
Soviet Union,Gold
Sweden,Bronze
Sweden,Silver
Sweden,Silver
Sweden,Bronze
Sweden,Bronze
Sweden,Gold
United States,Silver
Brazil,Silver
Brazil,Bronze
Brazil,Silver
Brazil,Bronze
Brazil,Gold
Uruguay,Bronze
Bulgaria,Bronze
Soviet Union,Silver
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Bronze
Russia,Bronze
Bulgaria,Bronze
Mexico,Bronze
Mexico,Bronze
Uruguay,Gold
Sweden,Silver
Hungary,Gold
Germany,Silver
Germany,Silver
Great Britain,Gold
Belgium,Silver
Germany,Gold
Germany,Gold
Ukraine,Bronze
Soviet Union,Gold
Germany,Gold
Germany,Gold
Germany,Gold
Germany,Gold
Germany,Bronze
Australia,Bronze
Romania,Bronze
Romania,Bronze
Hungary,Gold
Hungary,Bronze
Hungary,Gold
France-2,Bronze
East Germany,Silver
East Germany,Bronze
East Germany,Silver
Soviet Union,Gold
New Zealand,Gold
Cuba,Gold
Great Britain,Silver
West Germany,Gold
West Germany,Silver
Germany,Gold
Cuba,Gold
Romania,Silver
Italy,Gold
Soviet Union,Bronze
Unified Team,Gold
Heira II,Gold
Soviet Union,Bronze
Italy,Silver
Italy,Gold
Italy,Gold
United States,Gold
Ukraine,Bronze
Soviet Union,Silver
Russia,Gold
Unified Team,Bronze
Soviet Union,Gold
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Bronze
Soviet Union,Bronze
East Germany,Bronze
Netherlands,Silver
Netherlands,Silver
Netherlands,Bronze
Netherlands,Silver
Netherlands,Silver
Netherlands,Silver
Czechoslovakia,Bronze
Czechoslovakia,Silver
Czechoslovakia,Silver
Czechoslovakia,Gold
Italy,Silver
Italy,Silver
Italy,Bronze
Netherlands,Silver
Netherlands,Bronze
Netherlands,Bronze
Switzerland,Silver
Netherlands,Bronze
Netherlands,Silver
Netherlands,Silver
France,Gold
West Germany,Gold
Poland,Gold
United States,Gold
Italy,Bronze
Serbia and Montenegro,Gold
Yugoslavia,Silver
Croatia,Gold
Serbia,Silver
Spain,Silver
Belgium,Bronze
Belgium,Silver
France,Silver
Netherlands,Bronze
Switzerland,Bronze
Canada,Bronze
Italy,Silver
Argentina,Silver
Argentina,Silver
France,Gold
United States,Gold
United States,Silver
United States,Bronze
Sweden,Silver
Sweden,Bronze
Italy,Gold
United States,Gold
Hungary,Silver
Mexico,Bronze
Soviet Union,Silver
Soviet Union,Gold
East Germany,Gold
United States,Gold
Hungary,Bronze
United States,Gold
United States,Gold
Canada,Silver
Canada,Gold
Canada,Gold
Canada,Gold
Italy,Gold
United States,Silver
United States,Gold
Austria,Silver
Austria,Bronze
Tunisia,Bronze
France,Bronze
United States,Silver
Canada,Silver
Canada,Bronze
Canada,Gold
Canada,Gold
France,Bronze
France,Bronze
Belgium,Gold
Belgium,Gold
France,Silver
United States,Gold
United States,Bronze
United States,Bronze
United States,Silver
France,Silver
Canada,Silver
Canada,Bronze
Netherlands,Silver
Great Britain,Silver
France,Silver
France,Gold
France,Silver
France,Gold
France,Silver
France,Bronze
France,Silver
France,Silver
Morocco,Bronze
France,Bronze
France,Bronze
Algeria,Gold
Caprice,Bronze
Netherlands,Bronze
Netherlands,Bronze
Greece,Bronze
France,Gold
Canada,Bronze
United States,Silver
France,Bronze
France,Bronze
France,Bronze
France,Bronze
France,Silver
Belgium,Bronze
United States,Gold
Canada,Bronze
"New College, Oxford-2",Silver
France,Bronze
Switzerland,Gold
United States,Gold
France,Silver
France,Silver
France,Silver
France,Bronze
Morocco,Gold
France,Bronze
Netherlands,Bronze
France,Bronze
Switzerland-2,Gold
Netherlands,Bronze
Netherlands,Bronze
Netherlands,Silver
Netherlands,Bronze
Netherlands,Bronze
Canada,Gold
Netherlands,Silver
Netherlands,Gold
Czechoslovakia,Silver
France,Bronze
Netherlands,Bronze
Netherlands,Gold
Trinidad and Tobago,Bronze
Soviet Union,Silver
Italy,Gold
Italy,Bronze
Italy,Bronze
France,Silver
Italy,Silver
Canada-1,Silver
United States,Silver
United States,Gold
