Team,Medal
Norway,Silver
Norway,Gold
Hungary-1,Gold
Soviet Union,Gold
Soviet Union,Silver
Belgium,Silver
United States,Silver
Germany,Silver
Germany,Silver
Zimbabwe,Gold
Germany,Silver
Sweden,Silver
Canada,Gold
Sweden,Silver
United States,Silver
United States,Silver
Sweden,Gold
East Germany,Gold
East Germany,Silver
East Germany,Gold
East Germany,Gold
East Germany,Silver
East Germany,Bronze
East Germany,Silver
East Germany,Silver
Mongolia,Gold
Austria,Bronze
Austria,Gold
Poland,Silver
United States,Bronze
Great Britain,Gold
Great Britain,Silver
Jamaica,Bronze
Jamaica,Gold
Denmark,Silver
United States,Gold
Canada,Gold
Puerto Rico,Bronze
Spain,Silver
Mexico,Gold
Argentina,Silver
Mexico,Gold
Cuba,Gold
Cuba,Silver
Cuba,Bronze
Iran,Bronze
Spain,Bronze
Spain,Bronze
United States Virgin Islands-1,Gold
South Korea,Gold
South Korea,Gold
South Korea,Gold
France,Gold
France,Silver
France,Bronze
Cameroon,Gold
France,Bronze
France,Bronze
France,Silver
France,Silver
West Germany,Silver
West Germany,Silver
West Germany,Bronze
West Germany,Bronze
Nigeria,Silver
Peru,Bronze
Luxembourg,Bronze
Luxembourg,Bronze
Luxembourg,Bronze
Luxembourg,Gold
Czech Republic,Bronze
Spain,Bronze
Czechoslovakia,Bronze
Turkey,Silver
Germany,Bronze
Yugoslavia,Gold
Germany,Gold
Hungary,Bronze
Switzerland,Bronze
Soviet Union,Silver
Germany,Bronze
Germany,Silver
Germany-2,Bronze
Hungary,Silver
Hungary,Bronze
Hungary,Gold
Romania,Gold
Romania,Bronze
United States,Silver
Kenya,Gold
Great Britain,Gold
West Germany,Bronze
West Germany,Gold
Denmark,Silver
Norway,Gold
United States,Bronze
Australia,Bronze
United States,Gold
United States,Gold
Sweden,Silver
Sweden,Bronze
Sweden,Bronze
Sweden,Bronze
Sweden,Silver
Sweden,Silver
Sweden,Bronze
Sweden,Silver
Sweden,Gold
Sweden,Gold
Brazil,Silver
Norway,Silver
Norway,Bronze
Denmark,Bronze
Norway,Gold
Denmark,Silver
Norway,Silver
Denmark-2,Bronze
Denmark,Bronze
Norway,Silver
Norway,Bronze
Norway,Bronze
Norway,Gold
Norway,Silver
Sweden,Silver
Sweden,Bronze
Sweden,Silver
Sweden,Gold
Sweden,Silver
Sweden,Bronze
Sweden,Gold
Sweden,Bronze
Sweden,Bronze
Sweden,Gold
Sweden,Bronze
Sweden,Bronze
Sweden,Silver
Sweden,Silver
Sweden,Gold
Sweden,Bronze
Sweden,Silver
Sweden,Bronze
Sweden,Bronze
Sweden,Gold
Sweden,Silver
Sweden,Bronze
Sweden,Silver
Sweden,Gold
Sweden,Silver
Sweden,Bronze
Sweden,Bronze
Sweden,Bronze
Nigeria,Bronze
Turkey,Gold
France,Silver
France,Gold
Germany,Silver
Germany,Gold
Hungary,Silver
Turkey,Silver
East Germany,Bronze
Chile,Bronze
Italy,Bronze
Italy,Silver
Italy,Gold
Hungary,Bronze
Germany,Silver
Germany,Bronze
Germany,Silver
Germany,Bronze
United States,Gold
United States,Gold
United States,Silver
United States,Gold
United States,Gold
Romania,Silver
Brazil,Gold
Brazil,Silver
Brazil,Silver
Brazil,Gold
Spain,Silver
East Germany,Bronze
Germany,Gold
Spain,Bronze
Spain,Bronze
Spain,Silver
Andorra,Silver
Spain,Silver
Spain,Gold
Spain,Silver
Spain,Silver
Iran,Silver
Finland,Silver
Nirefs,Gold
Finland,Silver
Mexico,Bronze
Egypt,Gold
Canada,Gold
Spain,Silver
Spain,Silver
United States,Bronze
Norway,Silver
Spain,Silver
Brazil,Bronze
Norway,Bronze
Norway,Gold
United States,Bronze
United States,Silver
Puerto Rico,Silver
